subscription_id,account_id,plan_id,start_date,end_date,status,mrr,is_expansion,cancellation_reason,created_at
28,11,4,2024-12-10,,active,999,True,,2025-11-03 13:00:05.554235
29,13,3,2025-08-17,,active,299,False,,2025-11-03 13:00:05.554235
30,26,4,2025-09-09,,active,999,True,,2025-11-03 13:00:05.554235
31,6,4,2025-09-27,,active,999,False,,2025-11-03 13:00:05.554235
32,98,1,2025-03-26,,active,0,False,,2025-11-03 13:00:05.554235
33,55,1,2025-05-28,2025-11-23,churned,0,False,Current state buy time.,2025-11-03 13:00:05.554235
34,32,3,2025-01-01,,trial,299,True,,2025-11-03 13:00:05.554235
35,48,4,2025-07-12,2026-05-02,churned,999,True,There hotel program lose month report claim.,2025-11-03 13:00:05.554235
36,18,3,2024-11-19,,active,299,False,,2025-11-03 13:00:05.554235
37,6,3,2025-07-28,2026-01-08,cancelled,299,False,Order region however stop protect sense test.,2025-11-03 13:00:05.554235
38,15,1,2025-05-12,,active,0,True,,2025-11-03 13:00:05.554235
39,84,4,2025-09-20,,active,999,False,,2025-11-03 13:00:05.554235
40,50,2,2025-09-25,2026-06-07,churned,99,False,Exist stage imagine way.,2025-11-03 13:00:05.554235
41,53,3,2025-09-02,2025-12-18,cancelled,299,True,Become nature despite sport since.,2025-11-03 13:00:05.554235
42,20,2,2024-12-25,2025-03-24,cancelled,99,True,Law policy court vote.,2025-11-03 13:00:05.554235
43,31,3,2024-11-25,2025-03-19,churned,299,False,Marriage bring agent.,2025-11-03 13:00:05.554235
44,11,1,2025-08-02,2025-10-24,cancelled,0,False,Goal everybody hotel effort young try that.,2025-11-03 13:00:05.554235
45,87,3,2025-04-22,,active,299,False,,2025-11-03 13:00:05.554235
46,78,2,2025-06-15,2026-03-11,churned,99,False,Wall evidence western computer.,2025-11-03 13:00:05.554235
47,65,4,2025-03-03,2025-05-08,cancelled,999,False,Far marriage foreign role.,2025-11-03 13:00:05.554235
48,90,2,2025-05-18,2025-11-01,cancelled,99,False,Bad fire individual ever.,2025-11-03 13:00:05.554235
49,86,2,2025-04-19,,active,99,False,,2025-11-03 13:00:05.554235
50,59,3,2024-12-09,,active,299,True,,2025-11-03 13:00:05.554235
51,15,3,2025-03-29,,active,299,False,,2025-11-03 13:00:05.555234
52,30,2,2024-12-15,,active,99,True,,2025-11-03 13:00:05.555234
53,8,4,2024-12-13,,active,999,False,,2025-11-03 13:00:05.555234
54,42,3,2025-02-06,,active,299,False,,2025-11-03 13:00:05.555234
55,50,3,2025-01-09,,active,299,False,,2025-11-03 13:00:05.555234
56,38,2,2025-06-22,,active,99,True,,2025-11-03 13:00:05.555234
57,39,1,2025-09-29,,active,0,False,,2025-11-03 13:00:05.555234
58,49,1,2024-12-06,2025-09-25,cancelled,0,True,Each cell property structure voice almost.,2025-11-03 13:00:05.555234
59,76,4,2025-04-07,,trial,999,False,,2025-11-03 13:00:05.555234
60,48,1,2024-11-22,,active,0,False,,2025-11-03 13:00:05.555234
61,15,1,2025-05-18,,active,0,False,,2025-11-03 13:00:05.555234
62,55,1,2025-02-04,,active,0,False,,2025-11-03 13:00:05.555234
63,22,3,2025-01-18,,active,299,True,,2025-11-03 13:00:05.555234
64,90,1,2025-08-31,,trial,0,True,,2025-11-03 13:00:05.555234
65,76,1,2025-04-22,,active,0,True,,2025-11-03 13:00:05.555234
66,94,3,2025-08-04,,active,299,False,,2025-11-03 13:00:05.555234
67,83,1,2025-04-30,,active,0,True,,2025-11-03 13:00:05.555234
68,25,4,2025-06-20,,active,999,True,,2025-11-03 13:00:05.555234
69,86,2,2025-09-04,2026-07-08,churned,99,False,Reach business social remember key.,2025-11-03 13:00:05.556232
70,76,3,2025-04-29,,active,299,True,,2025-11-03 13:00:05.556232
71,5,3,2025-04-26,,active,299,True,,2025-11-03 13:00:05.556232
72,27,1,2025-05-14,,active,0,True,,2025-11-03 13:00:05.556232
73,88,3,2025-09-03,,trial,299,False,,2025-11-03 13:00:05.556232
74,40,2,2025-09-06,,active,99,False,,2025-11-03 13:00:05.556232
75,72,4,2025-02-24,,active,999,False,,2025-11-03 13:00:05.556232
76,25,4,2025-04-04,,active,999,True,,2025-11-03 13:00:05.556232
77,75,4,2025-03-22,,active,999,False,,2025-11-03 13:00:05.556232
78,47,4,2025-07-24,,active,999,False,,2025-11-03 13:00:05.556232
79,30,4,2024-12-28,,active,999,False,,2025-11-03 13:00:05.556232
80,66,3,2024-11-14,,active,299,False,,2025-11-03 13:00:05.556232
81,58,3,2025-04-07,,trial,299,False,,2025-11-03 13:00:05.556232
82,24,4,2025-04-18,,active,999,True,,2025-11-03 13:00:05.556232
83,94,4,2025-02-18,,active,999,True,,2025-11-03 13:00:05.556232
84,71,1,2025-05-06,2026-01-21,churned,0,False,Activity you opportunity add church from.,2025-11-03 13:00:05.556232
85,91,1,2025-05-15,,active,0,False,,2025-11-03 13:00:05.556232
86,46,2,2025-08-06,,active,99,False,,2025-11-03 13:00:05.556232
87,98,2,2025-07-09,,active,99,True,,2025-11-03 13:00:05.556232
88,73,2,2025-07-05,,trial,99,True,,2025-11-03 13:00:05.556232
89,74,3,2025-09-20,,active,299,False,,2025-11-03 13:00:05.556232
90,65,3,2025-06-28,,active,299,False,,2025-11-03 13:00:05.556232
91,96,3,2025-03-03,,active,299,False,,2025-11-03 13:00:05.556232
92,71,2,2025-04-28,,active,99,False,,2025-11-03 13:00:05.556232
93,55,2,2025-08-01,,active,99,False,,2025-11-03 13:00:05.556232
94,33,1,2025-05-24,,active,0,True,,2025-11-03 13:00:05.556232
95,63,3,2025-07-26,,active,299,True,,2025-11-03 13:00:05.556232
96,98,1,2025-05-26,2025-09-20,churned,0,True,Night hold later nearly.,2025-11-03 13:00:05.556232
97,40,3,2025-05-09,,active,299,False,,2025-11-03 13:00:05.556232
98,91,3,2024-11-10,,active,299,False,,2025-11-03 13:00:05.556232
99,13,1,2024-11-25,,active,0,True,,2025-11-03 13:00:05.556232
100,38,1,2025-05-29,,active,0,True,,2025-11-03 13:00:05.556232
101,44,3,2024-12-11,,active,299,False,,2025-11-03 13:00:05.556232
102,53,1,2025-01-17,,active,0,False,,2025-11-03 13:00:05.556232
103,29,2,2025-07-19,2026-06-30,cancelled,99,True,Star big try painting.,2025-11-03 13:00:05.556232
104,25,4,2025-01-05,,active,999,True,,2025-11-03 13:00:05.556232
105,51,2,2025-03-31,,active,99,False,,2025-11-03 13:00:05.556232
106,47,2,2025-08-11,,active,99,False,,2025-11-03 13:00:05.556232
107,86,3,2025-04-26,,active,299,False,,2025-11-03 13:00:05.556232
108,7,4,2025-02-21,,trial,999,False,,2025-11-03 13:00:05.556232
109,14,1,2025-07-01,,active,0,False,,2025-11-03 13:00:05.556232
110,50,2,2024-11-27,2025-08-02,churned,99,False,Which back to hope hotel six interesting.,2025-11-03 13:00:05.556232
111,19,2,2025-04-28,,active,99,True,,2025-11-03 13:00:05.556232
112,31,4,2025-08-02,,active,999,True,,2025-11-03 13:00:05.556232
113,9,4,2025-05-27,,active,999,False,,2025-11-03 13:00:05.556232
114,55,3,2025-01-02,,active,299,True,,2025-11-03 13:00:05.556232
115,40,1,2025-08-15,,trial,0,True,,2025-11-03 13:00:05.556232
116,20,1,2025-09-15,,active,0,True,,2025-11-03 13:00:05.557234
117,4,1,2025-09-26,,active,0,False,,2025-11-03 13:00:05.557234
118,42,1,2025-09-21,,active,0,True,,2025-11-03 13:00:05.557234
119,64,3,2025-05-03,,active,299,False,,2025-11-03 13:00:05.557234
120,47,4,2025-04-28,,active,999,True,,2025-11-03 13:00:05.557234
121,13,4,2025-06-16,,active,999,False,,2025-11-03 13:00:05.557234
122,62,1,2025-02-12,,active,0,False,,2025-11-03 13:00:05.557234
123,49,1,2025-04-03,,active,0,True,,2025-11-03 13:00:05.557234
124,68,4,2025-09-16,,active,999,False,,2025-11-03 13:00:05.557234
125,64,1,2025-03-08,,active,0,False,,2025-11-03 13:00:05.557234
126,14,2,2025-01-28,,trial,99,False,,2025-11-03 13:00:05.557234
127,86,2,2024-11-19,,trial,99,False,,2025-11-03 13:00:05.557234
128,2,2,2025-01-22,,trial,99,True,,2025-11-03 13:00:05.557234
129,40,1,2024-11-16,,active,0,True,,2025-11-03 13:00:05.557234
130,52,3,2025-07-10,,active,299,False,,2025-11-03 13:00:05.557234
131,27,4,2025-03-16,,active,999,False,,2025-11-03 13:00:05.557234
132,83,3,2025-04-29,2025-12-26,cancelled,299,True,Name particular none event side wait.,2025-11-03 13:00:05.557234
133,86,4,2025-06-19,,active,999,False,,2025-11-03 13:00:05.557234
134,7,1,2025-06-25,,active,0,True,,2025-11-03 13:00:05.557234
135,34,3,2024-11-20,,active,299,True,,2025-11-03 13:00:05.557234
136,91,2,2025-07-16,,active,99,True,,2025-11-03 13:00:05.557234
137,75,1,2025-07-08,,active,0,True,,2025-11-03 13:00:05.557234
138,12,2,2025-01-12,,active,99,True,,2025-11-03 13:00:05.557234
139,62,4,2025-08-27,,active,999,False,,2025-11-03 13:00:05.557234
140,99,2,2025-01-29,,active,99,False,,2025-11-03 13:00:05.557234
141,28,3,2025-04-19,,trial,299,True,,2025-11-03 13:00:05.557234
142,17,4,2025-09-16,,active,999,True,,2025-11-03 13:00:05.557234
143,99,2,2025-01-06,,active,99,True,,2025-11-03 13:00:05.557234
144,97,1,2025-02-10,,active,0,True,,2025-11-03 13:00:05.557234
145,66,1,2025-07-03,,active,0,False,,2025-11-03 13:00:05.557234
146,50,2,2025-05-23,,active,99,False,,2025-11-03 13:00:05.558237
147,31,3,2025-09-14,,active,299,False,,2025-11-03 13:00:05.558237
148,88,1,2025-05-15,,active,0,True,,2025-11-03 13:00:05.558237
149,5,3,2024-12-22,,active,299,False,,2025-11-03 13:00:05.558237
150,4,2,2024-11-11,,active,99,True,,2025-11-03 13:00:05.558237
151,85,1,2024-11-12,,active,0,True,,2025-11-03 13:00:05.558237
152,68,3,2025-05-11,,active,299,True,,2025-11-03 13:00:05.558237
153,42,3,2025-01-20,2025-08-22,churned,299,True,Various check institution protect plan friend address.,2025-11-03 13:00:05.558237
154,72,3,2025-05-03,,active,299,False,,2025-11-03 13:00:05.558237
155,20,4,2024-11-02,2025-07-31,churned,999,True,Recent family here reveal determine situation anything.,2025-11-03 13:00:05.558237
156,66,4,2025-06-27,,active,999,True,,2025-11-03 13:00:05.558237
157,82,4,2025-02-09,,active,999,False,,2025-11-03 13:00:05.558237
158,34,4,2025-08-06,2026-06-28,cancelled,999,False,Agent possible break conference company interest agency.,2025-11-03 13:00:05.558237
159,19,4,2025-09-13,2026-06-14,cancelled,999,False,Kid street court thank record oil.,2025-11-03 13:00:05.558237
160,1,4,2025-06-30,,active,999,True,,2025-11-03 13:00:05.558237
161,6,4,2025-03-13,,trial,999,False,,2025-11-03 13:00:05.558237
162,91,4,2024-11-07,2025-08-09,cancelled,999,True,Degree available success after word growth organization she.,2025-11-03 13:00:05.558237
163,52,4,2025-03-15,,active,999,True,,2025-11-03 13:00:05.558237
164,86,3,2025-04-16,2025-11-15,cancelled,299,True,Long partner marriage painting general answer.,2025-11-03 13:00:05.558237
165,55,4,2025-06-26,,active,999,True,,2025-11-03 13:00:05.558237
166,16,2,2025-04-04,,active,99,False,,2025-11-03 13:00:05.558237
167,47,1,2025-04-01,,active,0,False,,2025-11-03 13:00:05.558237
168,12,4,2025-09-27,,active,999,True,,2025-11-03 13:00:05.558237
169,33,3,2025-04-18,2025-10-25,cancelled,299,True,Crime important list something president another.,2025-11-03 13:00:05.558237
170,56,4,2024-12-08,,active,999,False,,2025-11-03 13:00:05.558237
171,12,2,2025-05-25,,active,99,False,,2025-11-03 13:00:05.558237
172,78,1,2025-06-16,,active,0,True,,2025-11-03 13:00:05.558237
173,72,4,2025-09-27,,active,999,True,,2025-11-03 13:00:05.558237
174,44,1,2025-07-16,,active,0,True,,2025-11-03 13:00:05.558237
175,19,1,2025-05-22,,trial,0,False,,2025-11-03 13:00:05.558237
176,65,1,2025-02-24,,active,0,True,,2025-11-03 13:00:05.558237
177,79,1,2025-06-25,,active,0,True,,2025-11-03 13:00:05.558237
178,78,2,2025-02-08,,active,99,False,,2025-11-03 13:00:05.558237
179,48,1,2025-08-26,,active,0,False,,2025-11-03 13:00:05.558237
180,16,1,2025-04-19,,trial,0,True,,2025-11-03 13:00:05.558237
181,16,2,2024-11-20,,active,99,True,,2025-11-03 13:00:05.558237
182,20,1,2025-09-29,,active,0,False,,2025-11-03 13:00:05.558237
183,20,3,2025-03-24,,active,299,False,,2025-11-03 13:00:05.558237
184,45,3,2025-09-24,2026-05-25,churned,299,True,Crime number dinner pressure fight.,2025-11-03 13:00:05.558237
185,38,3,2025-02-03,,trial,299,False,,2025-11-03 13:00:05.558237
186,95,3,2025-04-24,,active,299,False,,2025-11-03 13:00:05.558237
187,86,4,2025-03-29,2025-10-11,cancelled,999,False,Billion international cup choice trouble understand.,2025-11-03 13:00:05.558237
188,64,4,2025-02-19,,active,999,True,,2025-11-03 13:00:05.558237
189,84,4,2025-07-22,,active,999,False,,2025-11-03 13:00:05.558237
190,95,2,2025-04-03,2026-02-09,churned,99,False,Organization nice story but none throw thought fast.,2025-11-03 13:00:05.558237
191,52,3,2025-04-24,,active,299,False,,2025-11-03 13:00:05.559233
192,21,4,2025-10-03,,active,999,False,,2025-11-03 13:00:05.559233
193,58,1,2025-01-03,,active,0,False,,2025-11-03 13:00:05.559233
194,40,1,2025-09-28,,active,0,False,,2025-11-03 13:00:05.559233
195,37,3,2025-06-04,2025-11-20,churned,299,True,Wait there movie bring.,2025-11-03 13:00:05.559233
196,13,4,2025-07-09,2025-09-12,churned,999,True,Often whose need young federal street about.,2025-11-03 13:00:05.559233
197,61,2,2025-03-12,,active,99,False,,2025-11-03 13:00:05.559233
198,13,2,2024-12-18,,active,99,False,,2025-11-03 13:00:05.559233
199,49,4,2025-03-17,,active,999,True,,2025-11-03 13:00:05.559233
200,10,2,2025-04-25,,active,99,False,,2025-11-03 13:00:05.559233
201,16,2,2025-04-08,,active,99,True,,2025-11-03 13:00:05.559233
202,93,2,2025-03-20,,active,99,False,,2025-11-03 13:00:05.559233
203,62,1,2024-11-23,,active,0,True,,2025-11-03 13:00:05.559233
204,50,4,2024-11-03,,active,999,True,,2025-11-03 13:00:05.559233
205,69,4,2025-05-25,,active,999,True,,2025-11-03 13:00:05.559233
206,12,4,2024-11-14,2025-06-27,churned,999,True,Paper down first heart behavior society wear.,2025-11-03 13:00:05.559233
207,70,1,2025-06-09,2025-09-13,churned,0,True,Put admit reflect truth allow over.,2025-11-03 13:00:05.559233
208,17,2,2025-05-06,,trial,99,False,,2025-11-03 13:00:05.559233
209,21,1,2025-02-14,,active,0,True,,2025-11-03 13:00:05.559233
210,53,1,2024-12-04,,active,0,False,,2025-11-03 13:00:05.559233
211,37,4,2025-07-21,,active,999,False,,2025-11-03 13:00:05.559233
212,86,3,2025-09-29,,active,299,True,,2025-11-03 13:00:05.559233
213,9,3,2025-08-10,,active,299,True,,2025-11-03 13:00:05.559233
214,59,3,2025-05-22,,active,299,False,,2025-11-03 13:00:05.559233
215,44,3,2025-08-02,,active,299,False,,2025-11-03 13:00:05.559233
216,18,3,2025-01-04,,active,299,False,,2025-11-03 13:00:05.559233
217,94,4,2025-02-20,,active,999,True,,2025-11-03 13:00:05.559233
218,67,4,2025-07-29,2026-02-25,churned,999,True,Remain maybe every husband generation authority.,2025-11-03 13:00:05.559233
219,52,1,2025-01-30,,active,0,False,,2025-11-03 13:00:05.559233
220,42,3,2024-11-10,,active,299,False,,2025-11-03 13:00:05.559233
221,91,3,2025-07-25,,active,299,True,,2025-11-03 13:00:05.559233
222,51,3,2025-03-02,,active,299,True,,2025-11-03 13:00:05.559233
223,12,1,2025-05-28,,active,0,False,,2025-11-03 13:00:05.559233
224,53,4,2025-09-28,,active,999,True,,2025-11-03 13:00:05.559233
225,74,3,2025-04-29,,active,299,True,,2025-11-03 13:00:05.559233
226,68,2,2025-08-23,,trial,99,True,,2025-11-03 13:00:05.559233
227,6,4,2025-06-18,,active,999,False,,2025-11-03 13:00:05.559233
228,91,1,2025-04-13,,active,0,True,,2025-11-03 13:00:05.559233
229,34,4,2025-02-03,,active,999,False,,2025-11-03 13:00:05.559233
230,13,3,2025-09-10,,active,299,True,,2025-11-03 13:00:05.559233
231,22,1,2025-08-02,,trial,0,True,,2025-11-03 13:00:05.559233
232,88,3,2025-08-11,,active,299,True,,2025-11-03 13:00:05.559233
233,84,2,2024-12-14,,active,99,False,,2025-11-03 13:00:05.559233
234,62,1,2025-02-03,,active,0,True,,2025-11-03 13:00:05.559233
235,59,3,2025-07-07,,active,299,True,,2025-11-03 13:00:05.559233
236,74,1,2024-12-11,,active,0,True,,2025-11-03 13:00:05.559233
237,41,3,2024-11-25,,active,299,False,,2025-11-03 13:00:05.559233
238,60,1,2025-02-19,,active,0,True,,2025-11-03 13:00:05.559233
239,13,2,2025-03-09,,trial,99,False,,2025-11-03 13:00:05.559233
240,62,2,2025-02-03,2025-03-12,churned,99,False,Leave knowledge everyone explain pull water.,2025-11-03 13:00:05.559233
241,86,2,2025-01-14,2025-10-21,churned,99,True,Green visit station son number imagine fast arrive.,2025-11-03 13:00:05.559233
242,15,3,2024-12-05,2025-02-20,churned,299,True,Finally share real class where.,2025-11-03 13:00:05.559233
243,57,3,2025-07-22,,trial,299,False,,2025-11-03 13:00:05.559233
244,94,4,2025-02-11,,active,999,False,,2025-11-03 13:00:05.559233
245,7,3,2025-08-06,,trial,299,False,,2025-11-03 13:00:05.559233
246,74,2,2025-01-10,2025-12-19,cancelled,99,False,Treat rest future choose.,2025-11-03 13:00:05.559233
247,100,1,2025-02-21,,active,0,False,,2025-11-03 13:00:05.559233
248,23,1,2025-05-03,2025-06-11,churned,0,True,Suddenly data response model feel leader actually.,2025-11-03 13:00:05.559233
249,33,3,2025-02-14,,active,299,False,,2025-11-03 13:00:05.559233
250,79,1,2025-06-30,,active,0,True,,2025-11-03 13:00:05.559233
251,87,3,2025-09-19,,trial,299,True,,2025-11-03 13:00:05.559233
252,34,1,2025-09-11,2026-08-22,cancelled,0,True,Quality risk son cup require third.,2025-11-03 13:00:05.559233
253,13,3,2024-12-09,,active,299,True,,2025-11-03 13:00:05.559233
254,93,3,2025-08-25,,active,299,True,,2025-11-03 13:00:05.559233
255,23,1,2025-03-12,,active,0,False,,2025-11-03 13:00:05.559233
256,3,2,2025-09-18,2026-07-19,cancelled,99,False,Point field magazine.,2025-11-03 13:00:05.559233
257,15,3,2025-08-07,2025-12-30,cancelled,299,False,Material skill example thousand seat scientist.,2025-11-03 13:00:05.559233
258,2,4,2025-06-30,,active,999,True,,2025-11-03 13:00:05.559233
259,47,4,2024-12-15,,active,999,True,,2025-11-03 13:00:05.559233
260,80,2,2025-01-21,,active,99,True,,2025-11-03 13:00:05.559233
261,32,2,2025-03-07,,active,99,True,,2025-11-03 13:00:05.559233
262,29,1,2025-08-22,,trial,0,False,,2025-11-03 13:00:05.559233
263,16,3,2025-07-20,2025-08-27,churned,299,True,Situation oil try million program truth.,2025-11-03 13:00:05.559233
264,50,2,2025-02-26,,active,99,True,,2025-11-03 13:00:05.559233
265,77,4,2025-09-25,,active,999,False,,2025-11-03 13:00:05.559233
266,20,1,2025-04-18,,active,0,False,,2025-11-03 13:00:05.559233
267,34,4,2024-11-16,2025-09-13,cancelled,999,False,Candidate develop analysis how alone ok.,2025-11-03 13:00:05.559233
268,73,4,2024-11-05,,active,999,False,,2025-11-03 13:00:05.559233
269,58,4,2024-11-17,,active,999,False,,2025-11-03 13:00:05.559233
270,50,2,2024-12-26,,active,99,False,,2025-11-03 13:00:05.559233
271,5,1,2025-09-17,,active,0,True,,2025-11-03 13:00:05.559233
272,86,1,2025-09-15,,active,0,True,,2025-11-03 13:00:05.559233
273,31,4,2024-12-14,,active,999,True,,2025-11-03 13:00:05.560739
274,84,3,2025-04-05,,active,299,True,,2025-11-03 13:00:05.560739
275,4,2,2025-07-08,,active,99,False,,2025-11-03 13:00:05.560739
276,53,1,2025-04-27,,active,0,False,,2025-11-03 13:00:05.560739
277,50,4,2025-08-09,2026-07-08,churned,999,True,Effect consumer behavior eat that.,2025-11-03 13:00:05.561096
278,26,1,2025-03-20,,active,0,False,,2025-11-03 13:00:05.561096
279,33,3,2025-04-26,,active,299,False,,2025-11-03 13:00:05.561096
280,86,4,2025-07-04,,active,999,True,,2025-11-03 13:00:05.561096
281,26,3,2025-03-25,,trial,299,False,,2025-11-03 13:00:05.561096
282,36,1,2025-01-15,,trial,0,True,,2025-11-03 13:00:05.561096
283,71,1,2025-02-18,2025-05-20,churned,0,False,Way system buy much partner.,2025-11-03 13:00:05.561096
284,10,3,2025-02-02,,active,299,True,,2025-11-03 13:00:05.561096
285,80,4,2025-05-27,,active,999,True,,2025-11-03 13:00:05.561096
286,12,2,2025-03-24,,trial,99,True,,2025-11-03 13:00:05.561096
287,98,4,2025-07-20,,active,999,True,,2025-11-03 13:00:05.561693
288,21,4,2024-11-28,,active,999,False,,2025-11-03 13:00:05.561693
289,1,1,2025-01-06,,trial,0,True,,2025-11-03 13:00:05.561693
290,30,2,2024-12-14,,trial,99,False,,2025-11-03 13:00:05.561693
291,12,3,2025-01-30,,active,299,False,,2025-11-03 13:00:05.561693
292,59,3,2024-12-01,,active,299,True,,2025-11-03 13:00:05.561693
293,60,3,2024-12-22,,active,299,False,,2025-11-03 13:00:05.561693
294,91,4,2025-04-21,,active,999,True,,2025-11-03 13:00:05.562199
295,12,3,2025-07-06,,active,299,True,,2025-11-03 13:00:05.562199
296,83,4,2024-11-25,,active,999,True,,2025-11-03 13:00:05.562199
297,34,3,2025-07-15,2026-04-06,churned,299,False,Compare from foreign perhaps.,2025-11-03 13:00:05.562199
298,89,4,2025-06-06,,active,999,False,,2025-11-03 13:00:05.562199
299,13,4,2025-05-04,,active,999,True,,2025-11-03 13:00:05.562199
300,2,2,2025-08-28,,active,99,False,,2025-11-03 13:00:05.562199
301,60,2,2025-03-02,,active,99,True,,2025-11-03 13:00:05.562199
302,92,3,2024-11-25,2025-04-26,churned,299,True,Field more race late pick industry.,2025-11-03 13:00:05.562199
303,85,2,2025-08-27,,active,99,True,,2025-11-03 13:00:05.562199
304,71,3,2024-11-03,2025-10-28,cancelled,299,True,Beyond Mr parent argue sport great walk result.,2025-11-03 13:00:05.562199
305,49,1,2024-12-01,,active,0,True,,2025-11-03 13:00:05.562199
306,21,1,2025-10-02,,active,0,True,,2025-11-03 13:00:05.562199
307,67,2,2025-02-09,,active,99,False,,2025-11-03 13:00:05.562199
308,46,1,2025-04-30,,active,0,False,,2025-11-03 13:00:05.562199
309,10,3,2025-04-23,2025-06-15,churned,299,True,Degree camera soldier light.,2025-11-03 13:00:05.562199
310,9,1,2025-08-20,,active,0,True,,2025-11-03 13:00:05.562199
311,46,3,2024-11-16,,active,299,True,,2025-11-03 13:00:05.562199
312,95,2,2025-03-18,,active,99,False,,2025-11-03 13:00:05.562199
313,39,1,2024-12-03,2025-03-25,cancelled,0,True,Place central me institution.,2025-11-03 13:00:05.562199
314,66,4,2025-06-23,,active,999,True,,2025-11-03 13:00:05.562199
315,43,2,2024-12-05,2025-08-22,cancelled,99,True,Admit school cell apply writer beyond role.,2025-11-03 13:00:05.562199
316,28,3,2025-01-15,2025-12-17,churned,299,False,Last east subject.,2025-11-03 13:00:05.562199
317,21,3,2024-11-22,,trial,299,False,,2025-11-03 13:00:05.562199
318,71,2,2025-03-18,,active,99,False,,2025-11-03 13:00:05.562199
319,24,2,2025-02-09,,active,99,False,,2025-11-03 13:00:05.562199
320,93,1,2025-08-10,,active,0,False,,2025-11-03 13:00:05.562199
321,17,4,2025-05-19,,active,999,True,,2025-11-03 13:00:05.562199
322,91,4,2025-02-04,,active,999,False,,2025-11-03 13:00:05.562199
323,99,3,2025-05-26,,active,299,False,,2025-11-03 13:00:05.562199
324,23,3,2025-09-16,2026-03-14,cancelled,299,False,Member raise near us find wonder themselves.,2025-11-03 13:00:05.562199
325,47,1,2025-02-09,,active,0,True,,2025-11-03 13:00:05.562199
326,8,3,2025-03-29,,active,299,False,,2025-11-03 13:00:05.562199
327,96,4,2025-10-01,,active,999,True,,2025-11-03 13:00:05.562199
328,58,1,2025-03-03,,active,0,False,,2025-11-03 13:00:05.562199
329,45,4,2025-06-05,,trial,999,True,,2025-11-03 13:00:05.562199
330,77,2,2025-08-29,,active,99,True,,2025-11-03 13:00:05.562199
331,70,3,2025-07-31,,active,299,False,,2025-11-03 13:00:05.562199
332,92,3,2025-05-18,2026-03-31,cancelled,299,False,Hour production together culture reason.,2025-11-03 13:00:05.562199
333,13,4,2025-08-07,,trial,999,True,,2025-11-03 13:00:05.562199
334,70,1,2025-02-19,,active,0,False,,2025-11-03 13:00:05.562199
335,77,4,2025-02-16,,trial,999,True,,2025-11-03 13:00:05.562199
336,93,1,2025-04-09,2025-11-22,churned,0,True,Appear nothing skill parent now.,2025-11-03 13:00:05.562199
337,83,2,2025-08-25,,active,99,False,,2025-11-03 13:00:05.562199
338,75,4,2025-01-27,,active,999,True,,2025-11-03 13:00:05.562199
339,43,2,2025-01-04,,active,99,False,,2025-11-03 13:00:05.562199
340,12,1,2025-04-05,2025-08-14,cancelled,0,False,First work for activity action.,2025-11-03 13:00:05.562199
341,27,2,2025-09-01,2026-02-01,cancelled,99,True,Professor investment look throughout effect mean various.,2025-11-03 13:00:05.562199
342,80,3,2025-01-16,2025-04-02,churned,299,False,That per staff large imagine.,2025-11-03 13:00:05.562199
