session_id,user_id,session_start,session_end,session_duration_minutes,features_accessed,analysis_jobs_submitted,pages_viewed,device_type,browser,created_at
74,789,2025-07-21 08:19:47,2025-07-21 09:16:47,57,"F1,F3",1,19,mobile,Safari,2025-11-03 12:53:08.433251
75,122,2025-10-25 09:48:49,2025-10-25 10:35:49,47,"F4,F5,F2,F1",2,8,tablet,Chrome,2025-11-03 12:53:08.433251
76,467,2025-10-01 09:30:21,2025-10-01 09:43:21,13,F4,1,5,tablet,Firefox,2025-11-03 12:53:08.433251
77,945,2025-09-07 11:42:14,2025-09-07 12:48:14,66,"F2,F3",3,12,desktop,Chrome,2025-11-03 12:53:08.433251
78,58,2025-08-12 14:00:13,2025-08-12 14:54:13,54,"F1,F2,F5",0,15,desktop,Firefox,2025-11-03 12:53:08.433251
79,253,2025-07-28 08:47:39,2025-07-28 09:34:39,47,"F5,F4",4,13,tablet,Chrome,2025-11-03 12:53:08.433251
80,87,2025-09-14 23:58:41,2025-09-15 00:53:41,55,"F5,F3",3,11,mobile,Firefox,2025-11-03 12:53:08.433251
81,973,2025-08-17 14:05:16,2025-08-17 14:15:16,10,"F2,F4,F5",3,7,mobile,Chrome,2025-11-03 12:53:08.433251
82,919,2025-09-05 23:20:50,2025-09-05 23:46:50,26,F1,4,12,tablet,Firefox,2025-11-03 12:53:08.433251
83,300,2025-10-06 16:12:48,2025-10-06 16:58:48,46,"F4,F5,F3",2,20,desktop,Chrome,2025-11-03 12:53:08.433251
84,572,2025-09-11 11:15:19,2025-09-11 12:17:19,62,"F2,F4,F5",1,8,tablet,Firefox,2025-11-03 12:53:08.433251
85,359,2025-08-28 20:19:05,2025-08-28 20:47:05,28,"F1,F5,F2,F3",5,9,tablet,Chrome,2025-11-03 12:53:08.433251
86,813,2025-10-24 20:33:55,2025-10-24 20:49:55,16,"F3,F1",0,17,desktop,Safari,2025-11-03 12:53:08.433251
87,832,2025-10-13 20:50:50,2025-10-13 22:11:50,81,F2,0,11,mobile,Safari,2025-11-03 12:53:08.433251
88,395,2025-08-07 09:57:56,2025-08-07 10:20:56,23,F2,4,13,desktop,Safari,2025-11-03 12:53:08.433251
89,525,2025-08-14 02:37:09,2025-08-14 03:19:09,42,F5,5,12,mobile,Safari,2025-11-03 12:53:08.433251
90,420,2025-09-11 19:42:09,2025-09-11 20:10:09,28,"F4,F2",4,9,desktop,Firefox,2025-11-03 12:53:08.433251
91,979,2025-07-25 11:23:59,2025-07-25 12:34:59,71,"F4,F5,F1",1,13,mobile,Edge,2025-11-03 12:53:08.433251
92,571,2025-07-16 17:48:10,2025-07-16 18:19:10,31,F4,2,13,mobile,Safari,2025-11-03 12:53:08.433251
93,155,2025-08-12 01:29:11,2025-08-12 02:34:11,65,"F2,F4,F3",3,12,desktop,Firefox,2025-11-03 12:53:08.433251
94,217,2025-05-11 04:47:48,2025-05-11 05:14:48,27,"F5,F1,F2",3,1,mobile,Edge,2025-11-03 12:53:08.433251
95,35,2025-10-16 13:18:16,2025-10-16 14:36:16,78,"F2,F3,F4",3,14,mobile,Chrome,2025-11-03 12:53:08.433251
96,934,2025-09-28 11:06:26,2025-09-28 12:03:26,57,"F4,F1,F3,F2",5,12,desktop,Edge,2025-11-03 12:53:08.433251
97,659,2025-09-07 08:25:36,2025-09-07 09:41:36,76,F3,2,11,mobile,Firefox,2025-11-03 12:53:08.433251
98,849,2025-06-09 06:05:36,2025-06-09 06:30:36,25,"F5,F4",4,2,tablet,Chrome,2025-11-03 12:53:08.433251
99,986,2025-09-22 23:00:30,2025-09-22 23:34:30,34,F5,0,19,mobile,Edge,2025-11-03 12:53:08.433251
100,763,2025-10-11 06:46:07,2025-10-11 07:41:07,55,"F3,F1,F5,F2",0,11,mobile,Edge,2025-11-03 12:53:08.433251
101,634,2025-05-21 01:23:41,2025-05-21 02:34:41,71,"F3,F1,F2,F4",2,5,mobile,Safari,2025-11-03 12:53:08.433251
102,518,2025-10-29 10:18:14,2025-10-29 10:43:14,25,F4,4,13,mobile,Chrome,2025-11-03 12:53:08.433251
103,214,2025-08-07 13:32:52,2025-08-07 13:38:52,6,"F2,F4",0,7,mobile,Edge,2025-11-03 12:53:08.433251
104,205,2025-09-09 19:15:12,2025-09-09 20:16:12,61,F5,3,2,tablet,Edge,2025-11-03 12:53:08.433251
105,797,2025-06-24 20:53:19,2025-06-24 21:34:19,41,"F3,F2,F1",4,7,desktop,Chrome,2025-11-03 12:53:08.433251
106,69,2025-06-07 01:15:15,2025-06-07 01:21:15,6,"F1,F2,F5,F3",5,9,mobile,Firefox,2025-11-03 12:53:08.433251
107,39,2025-07-09 01:09:18,2025-07-09 02:17:18,68,F5,3,4,desktop,Chrome,2025-11-03 12:53:08.433251
108,522,2025-07-09 10:32:55,2025-07-09 10:52:55,20,F3,5,9,desktop,Safari,2025-11-03 12:53:08.433251
109,619,2025-08-20 15:10:54,2025-08-20 16:03:54,53,F3,5,7,mobile,Chrome,2025-11-03 12:53:08.433251
110,48,2025-07-19 23:29:54,2025-07-20 00:24:54,55,F1,4,18,mobile,Firefox,2025-11-03 12:53:08.433251
111,926,2025-10-23 15:45:19,2025-10-23 17:14:19,89,"F1,F3,F4",5,8,mobile,Chrome,2025-11-03 12:53:08.433251
112,456,2025-05-19 05:57:55,2025-05-19 06:25:55,28,"F5,F4",4,8,desktop,Firefox,2025-11-03 12:53:08.433251
113,314,2025-09-22 10:21:28,2025-09-22 10:36:28,15,"F5,F2,F3",4,12,tablet,Edge,2025-11-03 12:53:08.433251
114,800,2025-08-01 17:05:39,2025-08-01 17:17:39,12,F1,2,6,mobile,Safari,2025-11-03 12:53:08.433251
115,355,2025-07-19 07:00:42,2025-07-19 07:30:42,30,"F1,F4,F2,F3",2,16,tablet,Chrome,2025-11-03 12:53:08.433251
116,702,2025-08-24 07:33:51,2025-08-24 07:59:51,26,"F2,F5,F4",1,12,desktop,Chrome,2025-11-03 12:53:08.433251
117,764,2025-10-03 05:35:25,2025-10-03 06:57:25,82,F5,5,9,desktop,Chrome,2025-11-03 12:53:08.433251
118,700,2025-07-09 06:46:24,2025-07-09 07:11:24,25,"F4,F5",0,14,desktop,Firefox,2025-11-03 12:53:08.433251
119,396,2025-05-08 04:24:27,2025-05-08 05:54:27,90,F4,2,11,mobile,Safari,2025-11-03 12:53:08.433251
120,712,2025-06-10 17:29:51,2025-06-10 17:58:51,29,"F3,F5",0,18,desktop,Safari,2025-11-03 12:53:08.433251
121,665,2025-08-26 20:18:13,2025-08-26 20:36:13,18,"F3,F5,F2",3,11,mobile,Firefox,2025-11-03 12:53:08.433251
122,207,2025-05-22 03:14:53,2025-05-22 04:24:53,70,"F2,F5,F1",2,5,tablet,Edge,2025-11-03 12:53:08.433251
123,615,2025-10-13 11:57:37,2025-10-13 13:27:37,90,"F3,F5",0,16,tablet,Firefox,2025-11-03 12:53:08.433251
124,618,2025-09-04 00:34:38,2025-09-04 01:55:38,81,"F1,F3",4,10,mobile,Chrome,2025-11-03 12:53:08.433251
125,551,2025-07-14 14:30:35,2025-07-14 15:43:35,73,F3,3,3,tablet,Safari,2025-11-03 12:53:08.433251
126,952,2025-05-07 12:11:36,2025-05-07 12:17:36,6,"F4,F2",4,9,desktop,Edge,2025-11-03 12:53:08.433251
127,634,2025-10-26 00:45:54,2025-10-26 00:51:54,6,"F1,F4,F5,F3",3,20,tablet,Edge,2025-11-03 12:53:08.433251
128,116,2025-07-12 08:26:31,2025-07-12 09:06:31,40,"F4,F5,F3",1,11,tablet,Firefox,2025-11-03 12:53:08.433251
129,549,2025-06-18 12:13:39,2025-06-18 13:17:39,64,"F4,F2,F3,F5",5,8,tablet,Chrome,2025-11-03 12:53:08.433251
130,219,2025-07-22 19:11:32,2025-07-22 19:48:32,37,"F4,F3,F2,F1",4,10,desktop,Safari,2025-11-03 12:53:08.433251
131,577,2025-08-16 07:41:36,2025-08-16 08:11:36,30,"F5,F1,F2,F4",5,18,mobile,Chrome,2025-11-03 12:53:08.433251
132,87,2025-08-10 07:16:13,2025-08-10 08:29:13,73,"F2,F4,F5",0,20,desktop,Chrome,2025-11-03 12:53:08.433251
133,269,2025-09-22 12:55:16,2025-09-22 13:41:16,46,"F5,F2,F1",1,9,desktop,Edge,2025-11-03 12:53:08.433251
134,529,2025-10-12 00:56:50,2025-10-12 01:09:50,13,F3,2,11,mobile,Safari,2025-11-03 12:53:08.433251
135,246,2025-10-28 13:22:00,2025-10-28 14:27:00,65,"F4,F3",0,14,mobile,Chrome,2025-11-03 12:53:08.433251
136,664,2025-05-16 14:45:00,2025-05-16 15:11:00,26,"F5,F4,F1,F2",3,3,desktop,Edge,2025-11-03 12:53:08.434246
137,486,2025-09-06 01:25:59,2025-09-06 02:51:59,86,"F1,F2,F3",2,6,mobile,Chrome,2025-11-03 12:53:08.434246
138,426,2025-06-29 21:11:43,2025-06-29 22:17:43,66,"F4,F5,F2",5,15,mobile,Safari,2025-11-03 12:53:08.434246
139,933,2025-08-09 02:14:42,2025-08-09 02:22:42,8,"F2,F5,F4,F1",2,5,tablet,Edge,2025-11-03 12:53:08.434246
140,398,2025-09-30 09:46:39,2025-09-30 10:39:39,53,"F2,F4",1,14,tablet,Safari,2025-11-03 12:53:08.434246
141,133,2025-09-04 08:22:30,2025-09-04 09:42:30,80,"F2,F5,F1,F4",5,12,mobile,Firefox,2025-11-03 12:53:08.434246
142,616,2025-09-21 21:13:37,2025-09-21 21:23:37,10,"F1,F5",2,14,desktop,Safari,2025-11-03 12:53:08.434246
143,367,2025-06-19 08:00:12,2025-06-19 08:21:12,21,"F3,F4",0,18,mobile,Chrome,2025-11-03 12:53:08.434246
144,662,2025-08-18 16:25:19,2025-08-18 16:58:19,33,F3,0,20,desktop,Edge,2025-11-03 12:53:08.434246
145,142,2025-08-06 23:07:49,2025-08-06 23:36:49,29,"F5,F3,F2,F4",4,6,tablet,Safari,2025-11-03 12:53:08.434246
146,879,2025-06-08 12:02:01,2025-06-08 12:10:01,8,"F1,F2",3,6,mobile,Edge,2025-11-03 12:53:08.434246
147,819,2025-06-03 20:59:12,2025-06-03 21:29:12,30,"F2,F5,F3,F4",4,15,tablet,Edge,2025-11-03 12:53:08.434246
148,500,2025-08-17 04:07:03,2025-08-17 05:17:03,70,"F2,F5,F1",5,14,mobile,Edge,2025-11-03 12:53:08.434246
149,177,2025-07-30 07:55:31,2025-07-30 08:48:31,53,"F2,F4,F5",3,9,tablet,Firefox,2025-11-03 12:53:08.434246
150,796,2025-07-17 12:45:48,2025-07-17 14:01:48,76,"F1,F5",0,4,mobile,Firefox,2025-11-03 12:53:08.434246
151,439,2025-09-27 23:20:57,2025-09-27 23:46:57,26,"F5,F4",1,12,mobile,Safari,2025-11-03 12:53:08.434246
152,912,2025-08-02 14:12:03,2025-08-02 14:58:03,46,F5,1,19,desktop,Chrome,2025-11-03 12:53:08.434246
153,252,2025-05-13 14:03:56,2025-05-13 15:30:56,87,"F3,F4,F2",0,10,desktop,Edge,2025-11-03 12:53:08.434246
154,944,2025-05-06 23:43:03,2025-05-06 23:59:03,16,"F2,F1,F5,F4",5,7,desktop,Safari,2025-11-03 12:53:08.434246
155,142,2025-05-31 04:16:54,2025-05-31 05:08:54,52,F1,0,10,mobile,Chrome,2025-11-03 12:53:08.434246
156,22,2025-08-01 15:06:20,2025-08-01 16:36:20,90,"F2,F5,F3",0,12,desktop,Firefox,2025-11-03 12:53:08.434246
157,738,2025-06-11 12:40:31,2025-06-11 13:10:31,30,"F5,F3",3,4,desktop,Firefox,2025-11-03 12:53:08.434246
158,285,2025-05-09 02:18:48,2025-05-09 03:35:48,77,"F4,F1",2,17,mobile,Safari,2025-11-03 12:53:08.434246
159,919,2025-06-23 19:08:26,2025-06-23 20:22:26,74,F2,0,9,mobile,Safari,2025-11-03 12:53:08.434246
160,720,2025-10-07 03:29:51,2025-10-07 03:59:51,30,"F2,F1",4,7,mobile,Safari,2025-11-03 12:53:08.434246
161,922,2025-07-12 09:03:57,2025-07-12 09:56:57,53,"F4,F5,F1,F3",4,10,desktop,Chrome,2025-11-03 12:53:08.434246
162,405,2025-09-15 00:34:48,2025-09-15 01:26:48,52,"F4,F2",4,11,mobile,Chrome,2025-11-03 12:53:08.434246
163,249,2025-06-26 19:41:25,2025-06-26 19:53:25,12,"F1,F5,F4,F3",1,6,desktop,Edge,2025-11-03 12:53:08.434246
164,190,2025-07-28 08:14:37,2025-07-28 08:22:37,8,"F1,F2,F5",2,17,mobile,Firefox,2025-11-03 12:53:08.434246
165,330,2025-09-05 04:18:38,2025-09-05 04:51:38,33,"F3,F2,F1,F5",4,13,desktop,Edge,2025-11-03 12:53:08.434246
166,701,2025-07-25 15:24:45,2025-07-25 15:36:45,12,F4,1,12,tablet,Firefox,2025-11-03 12:53:08.434246
167,311,2025-05-05 02:03:41,2025-05-05 03:28:41,85,"F4,F2,F1,F5",1,11,tablet,Firefox,2025-11-03 12:53:08.434246
168,234,2025-05-26 02:36:55,2025-05-26 04:02:55,86,F3,1,10,desktop,Firefox,2025-11-03 12:53:08.434246
169,570,2025-09-01 22:33:30,2025-09-01 23:03:30,30,"F4,F2",0,14,tablet,Firefox,2025-11-03 12:53:08.434246
170,763,2025-05-17 04:11:00,2025-05-17 04:21:00,10,F4,3,3,tablet,Safari,2025-11-03 12:53:08.434246
171,758,2025-08-12 02:40:13,2025-08-12 04:00:13,80,"F1,F2,F4",4,15,desktop,Firefox,2025-11-03 12:53:08.434246
172,825,2025-07-12 23:06:42,2025-07-12 23:32:42,26,"F1,F2",4,4,mobile,Firefox,2025-11-03 12:53:08.434246
173,911,2025-09-19 07:30:32,2025-09-19 07:38:32,8,"F5,F2",1,16,desktop,Safari,2025-11-03 12:53:08.434246
174,646,2025-05-22 06:11:30,2025-05-22 07:29:30,78,"F2,F1,F3",1,11,mobile,Chrome,2025-11-03 12:53:08.434246
175,724,2025-05-21 02:46:23,2025-05-21 03:49:23,63,"F1,F4",5,13,mobile,Firefox,2025-11-03 12:53:08.434246
176,614,2025-07-28 03:15:55,2025-07-28 04:35:55,80,"F2,F1,F4,F3",1,17,mobile,Edge,2025-11-03 12:53:08.434246
177,220,2025-10-26 06:57:46,2025-10-26 07:54:46,57,F1,4,13,tablet,Chrome,2025-11-03 12:53:08.434246
178,868,2025-05-06 16:18:13,2025-05-06 17:38:13,80,"F3,F4,F5,F1",2,5,mobile,Chrome,2025-11-03 12:53:08.434246
179,544,2025-10-06 12:47:50,2025-10-06 13:00:50,13,"F2,F5",0,12,mobile,Firefox,2025-11-03 12:53:08.434246
180,269,2025-08-17 01:25:09,2025-08-17 02:21:09,56,"F5,F4,F2",1,19,tablet,Edge,2025-11-03 12:53:08.434246
181,741,2025-07-17 07:29:28,2025-07-17 07:57:28,28,"F4,F3,F1,F5",5,2,tablet,Firefox,2025-11-03 12:53:08.434246
182,560,2025-05-19 06:51:56,2025-05-19 08:09:56,78,"F5,F1,F3",5,17,mobile,Edge,2025-11-03 12:53:08.434246
183,908,2025-08-19 03:39:59,2025-08-19 04:57:59,78,"F2,F1,F3,F4",1,19,desktop,Safari,2025-11-03 12:53:08.434246
184,403,2025-09-16 19:38:22,2025-09-16 20:35:22,57,"F3,F2,F5,F4",3,7,desktop,Firefox,2025-11-03 12:53:08.434246
185,723,2025-09-05 08:09:14,2025-09-05 08:50:14,41,F3,2,11,desktop,Safari,2025-11-03 12:53:08.434246
186,883,2025-07-22 12:08:52,2025-07-22 12:41:52,33,F3,2,18,mobile,Edge,2025-11-03 12:53:08.434246
187,439,2025-05-10 16:11:35,2025-05-10 17:00:35,49,"F4,F5",5,6,mobile,Firefox,2025-11-03 12:53:08.434246
188,368,2025-07-06 15:10:06,2025-07-06 15:27:06,17,"F4,F1,F3,F2",1,11,tablet,Chrome,2025-11-03 12:53:08.434246
189,683,2025-06-24 23:55:50,2025-06-25 00:44:50,49,"F5,F3,F4,F2",3,10,tablet,Safari,2025-11-03 12:53:08.434246
190,148,2025-08-04 18:27:54,2025-08-04 18:52:54,25,F5,0,10,tablet,Chrome,2025-11-03 12:53:08.434246
191,581,2025-05-11 10:20:30,2025-05-11 11:11:30,51,"F4,F2,F1",5,20,tablet,Chrome,2025-11-03 12:53:08.434246
192,717,2025-09-27 19:27:24,2025-09-27 20:27:24,60,"F3,F1,F2",3,13,desktop,Chrome,2025-11-03 12:53:08.434246
193,920,2025-08-22 01:35:46,2025-08-22 02:00:46,25,"F3,F4",3,1,tablet,Edge,2025-11-03 12:53:08.434246
194,532,2025-07-09 00:49:44,2025-07-09 01:23:44,34,"F3,F5",3,12,tablet,Safari,2025-11-03 12:53:08.434246
195,77,2025-07-24 10:07:08,2025-07-24 11:35:08,88,"F4,F1",4,14,tablet,Safari,2025-11-03 12:53:08.434246
196,481,2025-07-11 15:54:48,2025-07-11 17:19:48,85,F4,2,19,tablet,Firefox,2025-11-03 12:53:08.434246
197,342,2025-05-09 15:17:07,2025-05-09 16:38:07,81,"F4,F1",1,2,tablet,Chrome,2025-11-03 12:53:08.434246
198,335,2025-09-06 02:57:27,2025-09-06 03:13:27,16,"F1,F2,F4",5,4,desktop,Firefox,2025-11-03 12:53:08.434246
199,536,2025-09-05 12:46:17,2025-09-05 12:57:17,11,F4,5,20,desktop,Edge,2025-11-03 12:53:08.434246
200,798,2025-06-05 20:02:30,2025-06-05 21:30:30,88,"F2,F5",5,2,desktop,Chrome,2025-11-03 12:53:08.434246
201,411,2025-10-23 15:35:07,2025-10-23 16:10:07,35,"F2,F4,F3,F1",4,2,desktop,Edge,2025-11-03 12:53:08.434246
